Id,Date,Home,Away,Results
0017e242-0d2f-44fb-a244-d2e74fa5f1f8,2018-05-27,Athletics,Diamondbacks,Athletics
001abb29-00d1-4d14-8410-fd9965886060,2018-07-10,Pirates,Nationals,Nationals
0058365f-87cf-4df8-83d7-5d1da527176a,2018-03-31,Athletics,Angels,Angels
005dfca5-b738-47cf-b8f1-675a47d31ead,2018-07-28,Angels,Mariners,Angels
006fd1b8-8b70-45a9-9a8d-f22e01ffa213,2018-06-13,Orioles,Red Sox,Red Sox
0075d6f1-2803-4ec8-8cd7-68ec10eda5f2,2018-03-31,Braves,Phillies,Braves
008f3cff-1edf-490b-818f-465721008530,2018-08-23,Nationals,Phillies,Phillies
00c16826-16dd-463d-92e3-b28fff4456b8,2018-07-03,Brewers,Twins,Brewers
00ff69ca-2e2a-47db-a16b-fb3bb1a03fcf,2018-09-05,White Sox,Tigers,Tigers
011a6977-e1a9-45af-b812-4fc267f3afe5,2018-09-23,Pirates,Brewers,Brewers
01348caa-afc5-4ed9-8632-0c7ba3cb5bbb,2018-05-19,Royals,Yankees,Yankees
01a35b8f-0086-48f8-bd75-3fdafc42bde9,2018-05-10,Marlins,Braves,Braves
01bcff29-8774-4ca3-87e8-1ac03746901d,2018-07-21,Reds,Pirates,Pirates
01dcae06-2fdd-42ef-81a9-57605a6225f0,2018-06-01,Twins,Indians,Indians
01e76f3c-1d33-43c6-8258-f7783d0c7787,2018-08-23,Diamondbacks,Angels,Diamondbacks
0201ac3a-fff2-48c6-8d5f-aba850427c7a,2018-05-19,Astros,Indians,Indians
020a2567-8f73-41c9-82a6-a69b45bca62b,2018-08-25,Twins,Athletics,Athletics
0216cda4-1e16-4e9a-a257-c5d52049801f,2018-05-14,Diamondbacks,Nationals,Nationals
0225878a-61aa-4771-a16a-70da5448bd7f,2018-09-23,Diamondbacks,Rockies,Rockies
027b3740-0b07-4090-9db0-4ae0f3c93e0a,2018-05-27,Dodgers,Padres,Padres
02cf7c57-4fac-4592-9cc8-527647b9e08f,2018-09-12,Giants,Braves,Braves
02db6955-b90c-4c7f-83be-e4db99d1bda7,2018-09-04,Marlins,Phillies,Phillies
032a769d-439b-4542-b69b-0a74f76580ef,2018-05-27,Phillies,Blue Jays,Blue Jays
032a9beb-7c37-4b82-bc44-c18fe3812aff,2018-08-18,Rangers,Angels,Rangers
034e301a-36bb-4f76-9072-93e8d805a7a2,2018-06-30,Athletics,Indians,Athletics
037c9b96-4bf9-4787-af2e-ddd8457430bc,2018-07-13,Indians,Yankees,Indians
039ee1c5-58f0-4ddd-9b46-5bf8c2e27813,2018-05-18,Angels,Rays,Rays
03c9a829-75c2-4bc5-8d09-2a55cc861508,2018-06-17,Dodgers,Giants,Dodgers
03ef2b8d-f1c3-47d6-9b26-1534ec38a376,2018-08-20,Mets,Giants,Giants
042b88ec-8741-4bcf-a27e-637cccafe0ff,2018-04-13,Nationals,Rockies,Rockies
04554258-ee99-4199-8a30-245dab68e673,2018-08-25,Mets,Nationals,Mets
046bcb6a-14fc-4dab-a6f2-1b941bd2e92d,2018-06-24,Pirates,Diamondbacks,Diamondbacks
04e4b38a-8ea7-4b4f-bbc0-d02e0ac2803f,2018-05-08,Phillies,Giants,Phillies
04e9e925-5ee4-44f7-81e3-dcc97b72b789,2018-05-22,Rays,Red Sox,Red Sox
04f14bc6-da35-4cf1-82e2-3f4d87cbc77e,2018-05-08,Blue Jays,Mariners,Mariners
04fe1f09-f0f6-415e-aaa9-5d9b84109241,2018-05-31,Cardinals,Pirates,Cardinals
0531a40d-3ad4-4ab8-9f19-186e84840434,2018-04-14,Cubs,Braves,Cubs
05336d76-0d28-4090-8eae-dc8d8b5a37c5,2018-04-26,Yankees,Twins,Yankees
053a0453-1e09-4c7a-89e2-83e46ce8e0c5,2018-08-13,Braves,Marlins,Braves
05644a51-902f-465a-952c-80358b87ac68,2018-08-11,Blue Jays,Rays,Rays
05a80575-34cb-4b8f-a404-105810a5bca0,2018-09-29,Mariners,Rangers,Mariners
05d28d7d-bf8e-49e0-9167-89f2af9210fa,2018-09-30,Phillies,Braves,Phillies
060bbda7-89e7-4062-bf83-25ee2f3a70e1,2018-04-02,Marlins,Red Sox,Red Sox
060cf875-93f1-4016-bd64-79b088178161,2018-06-02,Padres,Reds,Reds
0614bd9b-3fb2-4e23-a2ff-29130c5422fe,2018-08-22,Rays,Royals,Rays
061ada99-3060-4981-9a02-8c3d89e31c7b,2018-09-04,Rangers,Angels,Angels
0634733a-6d06-4e14-9975-84205bc734c5,2018-08-04,Pirates,Cardinals,Cardinals
0638c59f-bfb4-415b-8d96-09b6561e105f,2018-05-26,Pirates,Cardinals,Cardinals
0639709c-e2f0-473d-bcb0-9117f7e4d47c,2018-07-04,Marlins,Rays,Marlins
06450118-07f5-479f-96bb-42960f149b8c,2018-07-31,Red Sox,Phillies,Phillies
065a8040-2fae-4e4e-b2cc-cb12666b507c,2018-07-09,Red Sox,Rangers,Red Sox
